DATE,LAT,LON,Site_name,Latin_name,Sex
2007-09-13 18:17:00,32.87034,-3.81261,kehf ghnigat,Plecotus teneriffae,female
2007-09-13 18:17:00,32.87034,-3.81261,kehf ghnigat,Plecotus teneriffae,male
2007-09-13 18:17:00,32.87034,-3.81261,kehf ghnigat,Plecotus teneriffae,male
2007-09-13 18:17:00,32.87034,-3.81261,kehf ghnigat,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Eptesicus isabellinus,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-06 19:15:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-07 00:00:00,33.11286,-4.35960,kehf almou,Hypsugo savii,female
2007-06-07 00:00:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,male
2007-06-07 00:00:00,33.11286,-4.35960,kehf almou,Eptesicus isabellinus,male
2007-06-07 00:00:00,33.11286,-4.35960,kehf almou,Eptesicus isabellinus,male
2007-06-07 00:00:00,33.11286,-4.35960,kehf almou,Hypsugo savii,female
2007-06-07 00:00:00,33.11286,-4.35960,kehf almou,Myotis emarginatus,female
2007-06-07 00:00:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,(indeterminate)
2007-06-07 00:00:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,(indeterminate)
2007-06-07 00:00:00,33.11286,-4.35960,kehf almou,Plecotus teneriffae,(indeterminate)
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,female
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,male
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,female
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,male
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,female
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,female
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,female
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,female
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,female
2008-06-12 19:18:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,female
2008-06-13 00:00:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,male
2008-06-13 00:00:00,32.56750,-1.95303,mine bouarfa,Plecotus teneriffae,male
2007-06-29 19:22:00,32.68407,-2.72386,nm bel ghiada,Eptesicus isabellinus,female
2007-06-30 00:00:00,32.68407,-2.72386,nm bel ghiada,Eptesicus isabellinus,female
2007-06-30 00:00:00,32.68407,-2.72386,nm bel ghiada,Tadarida teniotis,male
2007-06-09 19:16:00,32.62139,-3.77602,mine tamslemt,Plecotus teneriffae,male
2007-06-09 19:16:00,32.62139,-3.77602,mine tamslemt,Plecotus teneriffae,male
2007-06-09 19:16:00,32.62139,-3.77602,mine tamslemt,Plecotus teneriffae,male
2007-06-09 19:16:00,32.62139,-3.77602,mine tamslemt,Plecotus teneriffae,male
2007-06-10 00:00:00,32.62139,-3.77602,mine tamslemt,Plecotus teneriffae,male
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,male
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Hypsugo savii,male
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,male
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Hypsugo savii,male
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,male
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Hypsugo savii,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Hypsugo savii,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Hypsugo savii,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Eptesicus isabellinus,male
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Hypsugo savii,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Plecotus teneriffae,female
2007-07-16 19:19:00,32.34790,-2.85266,nm karima,Hypsugo savii,male
2008-07-08 19:21:00,33.05185,-4.08478,oued chouf cherg aval,Eptesicus isabellinus,male
2008-07-08 19:21:00,33.05185,-4.08478,oued chouf cherg aval,Eptesicus isabellinus,female
2007-07-03 00:00:00,32.36284,-2.49076,kehf mhessar,Eptesicus isabellinus,male
2007-07-03 00:00:00,32.36284,-2.49076,kehf mhessar,Rhinopoma hardwickei,male
2007-07-05 00:00:00,32.32772,-2.80664,nm jbel qob,Eptesicus isabellinus,male
