Frequency,FreqOpti,RelCaptTag,SurveyType@Station,MonitoringStatus@Station,Origin,Sex,Locality,DATE,LAT,LON,Name_signal_type
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
216162,216162,CPF-00883,Post-Release,Lost,release,female,Tissint,2008-10-31 08:00:00,30.00060,-7.31757,
